2026-01-11T04:34:19.000000000Z [inf]  Starting Container
2026-01-11T04:34:21.636304402Z [inf]  >> imported app.api root
2026-01-11T04:34:21.636309660Z [err]  Traceback (most recent call last):
2026-01-11T04:34:21.636315501Z [err]    File "/usr/local/bin/uvicorn", line 8, in <module>
2026-01-11T04:34:21.636396148Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.636402673Z [err]      sys.exit(main())
2026-01-11T04:34:21.636409461Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 824, in invoke
2026-01-11T04:34:21.636413456Z [err]            
2026-01-11T04:34:21.636419763Z [err]     ^^^^^^
2026-01-11T04:34:21.636424802Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1485, in __call__
2026-01-11T04:34:21.636430336Z [err]      return self.main(*args, **kwargs)
2026-01-11T04:34:21.636435726Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.636437903Z [err]      return callback(*args, **kwargs)
2026-01-11T04:34:21.636442829Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1406, in main
2026-01-11T04:34:21.636450328Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.636450686Z [err]      rv = self.invoke(ctx)
2026-01-11T04:34:21.636463626Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 413, in main
2026-01-11T04:34:21.636471588Z [err]      run(
2026-01-11T04:34:21.636478926Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/main.py", line 580, in run
2026-01-11T04:34:21.636484598Z [err]           ^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.636491555Z [err]      server.run()
2026-01-11T04:34:21.636491683Z [err]    File "/usr/local/lib/python3.11/site-packages/click/core.py", line 1269, in invoke
2026-01-11T04:34:21.636502303Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 67, in run
2026-01-11T04:34:21.636502533Z [err]      return ctx.invoke(self.callback, **ctx.params)
2026-01-11T04:34:21.636514331Z [err]      return asyncio.run(self.serve(sockets=sockets))
2026-01-11T04:34:21.636522323Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640801950Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 190, in run
2026-01-11T04:34:21.640810290Z [err]      return runner.run(main)
2026-01-11T04:34:21.640815342Z [err]             ^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640819985Z [err]    File "/usr/local/lib/python3.11/asyncio/runners.py", line 118, in run
2026-01-11T04:34:21.640824356Z [err]      return self._loop.run_until_complete(task)
2026-01-11T04:34:21.640829083Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640834282Z [err]    File "/usr/local/lib/python3.11/asyncio/base_events.py", line 654, in run_until_complete
2026-01-11T04:34:21.640838627Z [err]      return future.result()
2026-01-11T04:34:21.640843020Z [err]             ^^^^^^^^^^^^^^^
2026-01-11T04:34:21.640848013Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 71, in serve
2026-01-11T04:34:21.640852368Z [err]      await self._serve(sockets)
2026-01-11T04:34:21.640857621Z [err]    File "/usr/local/lib/python3.11/site-packages/uvicorn/server.py", line 78, in _serve
2026-01-11T04:34:21.640862443Z [err]      config.load()
